LeftGene	LeftChrom	Hg19_LeftBreakpointCoord	RightGene	RightChrom	Hg19_RightBreakpointCoord	FusionName	SourceDataset	FastaDescription	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	sample	fusion_id	num_reads
COL6A6	chr3	130329555	USH2A	chr1	216371926	COL6A6--USH2A	sim_testis.fusion_transcripts	COL6A6|ENSG00000206384.6--USH2A|ENSG00000042781.8 COL6A6|ENST00000358511.6--USH2A|ENST00000366942.3 chr3:130279178-130279272,130281912-130282508,130283838-130284458,130285546-130286106,130286891-130287448,130289662-130290237,130292800-130293369,130300405-130300748,130300834-130300912,130305350-130305504,130307934-130308026,130309885-130309938,130311385-130311456,130311540-130311566,130311905-130311949,130312043-130312096,130313125-130313187,130317209-130317274,130318601-130318654,130325775-130325810,130327746-130327808,130329493-130329555[+] chr1:216371926-216371657,216370064-216369895,216363709-216363565,216348824-216347288[-] FusedAt:4846	chr3:130610711	chr1:216198584	ONT_95	COL6A6|ENSG00000206384.6--USH2A|ENSG00000042781.8	1
ACOT4	chr14	74060608	VWC2	chr7	49842307	ACOT4--VWC2	sim_heart.fusion_transcripts	ACOT4|ENSG00000177465.4--VWC2|ENSG00000188730.4 ACOT4|ENST00000326303.4--VWC2|ENST00000340652.4 chr14:74058410-74059120,74060406-74060608[+] chr7:49842307-49842436,49951630-49961546[+] FusedAt:914	chr14:73593904	chr7:49802711	ONT_95	ACOT4|ENSG00000177465.4--VWC2|ENSG00000188730.4	1
TRAF3IP3	chr1	209949081	TBR1	chr2	162274187	TRAF3IP3--TBR1	sim_colon.fusion_transcripts	TRAF3IP3|ENSG00000009790.10--TBR1|ENSG00000136535.10 TRAF3IP3|ENST00000367024.1--TBR1|ENST00000389554.3 chr1:209931843-209932199,209932379-209932479,209933327-209933729,209935860-209936007,209936158-209936215,209936413-209936437,209936708-209936737,209936837-209936932,209946293-209946364,209948694-209948834,209948944-209949081[+] chr2:162274187-162274341,162274712-162274833,162275403-162275561,162276707-162276768,162279880-162282381[+] FusedAt:1569	chr1:209775736	chr2:161417676	ONT_95	TRAF3IP3|ENSG00000009790.10--TBR1|ENSG00000136535.10	1
SH3GLB2	chr9	131778019	AC064874.1	chr2	236685685	SH3GLB2--AC064874.1	sim_adipose.fusion_transcripts	SH3GLB2|ENSG00000148341.13--AC064874.1|ENSG00000222007.2 SH3GLB2|ENST00000425236.1--AC064874.1|ENST00000440101.1 chr9:131783490-131783370,131778139-131778019[-] chr2:236685685-236685601,236682626-236682499[-] FusedAt:242	chr9:129015740	chr2:235777041	ONT_95	SH3GLB2|ENSG00000148341.13--AC064874.1|ENSG00000222007.2	1
YLPM1	chr14	75249028	E2F7	chr12	77444524	YLPM1--E2F7	sim_testis.fusion_transcripts	YLPM1|ENSG00000119596.13--E2F7|ENSG00000165891.11 YLPM1|ENST00000552421.1--E2F7|ENST00000416496.2 chr14:75230069-75231065,75245150-75245386,75247108-75247287,75248037-75249028[+] chr12:77444524-77444356,77440108-77439818,77438575-77438417,77436979-77436845,77427822-77427637,77426902-77426830,77424112-77423611,77421918-77421663,77417965-77415028[-] FusedAt:2406	chr14:74782325	chr12:77050744	Pac_75	YLPM1|ENSG00000119596.13--E2F7|ENSG00000165891.11	139
AP2M1	chr3	183900036	SP3	chr2	174820960	AP2M1--SP3	sim_colon.fusion_transcripts	AP2M1|ENSG00000161203.9--SP3|ENSG00000172845.9 AP2M1|ENST00000442686.1--SP3|ENST00000455789.2 chr3:183899803-183899835,183899939-183900036[+] chr2:174820960-174819601,174783513-174783321,174777994-174777798,174774985-174771187[-] FusedAt:131	chr3:184182248	chr2:173956232	Pac_75	AP2M1|ENSG00000161203.9--SP3|ENSG00000172845.9	136
EFNB3	chr17	7611845	ATP2A3	chr17	3848100	EFNB3--ATP2A3	sim_adipose.fusion_transcripts	EFNB3|ENSG00000108947.4--ATP2A3|ENSG00000074370.13 EFNB3|ENST00000226091.2--ATP2A3|ENST00000397043.3 chr17:7608520-7609038,7611276-7611568,7611753-7611845[+] chr17:3848100-3847998,3846816-3846685,3846025-3845900,3844948-3844730,3844600-3844265,3840930-3840710,3839763-3839561,3838571-3838486,3833728-3833595,3832739-3832622,3832074-3831957,3828732-3828640[-] FusedAt:905	chr17:7708527	chr17:3944806	Pac_75	EFNB3|ENSG00000108947.4--ATP2A3|ENSG00000074370.13	129
SYDE2	chr1	85630209	CSNK1G1	chr15	64506323	SYDE2--CSNK1G1	sim_heart.fusion_transcripts	SYDE2|ENSG00000097096.8--CSNK1G1|ENSG00000169118.11 SYDE2|ENST00000341460.5--CSNK1G1|ENST00000606225.1 chr1:85666729-85665935,85656435-85655740,85648883-85647781,85643955-85643829,85634908-85634727,85630440-85630209[-] chr15:64506323-64506089,64499793-64499708,64497148-64497064,64496788-64496640,64495388-64495281,64481679-64481540,64480684-64480574,64472653-64472547,64464184-64463828[-] FusedAt:3135	chr1:85164526	chr15:64214124	Pac_75	SYDE2|ENSG00000097096.8--CSNK1G1|ENSG00000169118.11	128
KLB	chr4	39439615	DAGLA	chr11	61502321	KLB--DAGLA	sim_heart.fusion_transcripts	KLB|ENSG00000134962.6--DAGLA|ENSG00000134780.5 KLB|ENST00000257408.4--DAGLA|ENST00000257215.5 chr4:39408473-39409394,39435830-39436340,39439347-39439615[+] chr11:61502321-61502474,61503033-61503116,61503211-61503288,61503742-61503822,61504654-61504796,61505159-61505227,61505607-61505679,61506937-61507133,61507935-61508064,61508634-61508821,61511004-61514473[+] FusedAt:1702	chr4:39437995	chr11:61734849	Pac_75	KLB|ENSG00000134962.6--DAGLA|ENSG00000134780.5	126
YME1L1	chr10	27437835	ZFR	chr5	32420208	YME1L1--ZFR	sim_heart.fusion_transcripts	YME1L1|ENSG00000136758.14--ZFR|ENSG00000056097.11 YME1L1|ENST00000477432.1--ZFR|ENST00000265069.8 chr10:27444195-27443107,27437969-27437835[-] chr5:32420208-32419926,32417897-32417753,32415292-32415074,32407126-32406879,32404202-32404011,32403502-32403211,32400308-32400112,32397444-32397325,32395410-32395265,32390543-32390381,32388780-32388575,32387805-32387655,32385755-32385614,32380278-32380181,32379316-32379221,32364381-32364270,32364151-32364054,32356045-32354456[-] FusedAt:1224	chr10:27148906	chr5:32420103	Pac_75	YME1L1|ENSG00000136758.14--ZFR|ENSG00000056097.11	126
ZNF774	chr15	90902189	PRAMEF8	chr1	13389727	ZNF774--PRAMEF8	sim_colon.fusion_transcripts	ZNF774|ENSG00000196391.6--PRAMEF8|ENSG00000182330.6 ZNF774|ENST00000379090.5--PRAMEF8|ENST00000357367.2 chr15:90895572-90895643,90897874-90897996,90902083-90902189[+] chr1:13389727-13389416,13389033-13388458,13387543-13386646[-] FusedAt:302	chr15:90358957	chr1:13284116	Pac_75	ZNF774|ENSG00000196391.6--PRAMEF8|ENSG00000182330.6	124
SSR3	chr3	156266694	IL12B	chr5	158749519	SSR3--IL12B	sim_testis.fusion_transcripts	SSR3|ENSG00000114850.2--IL12B|ENSG00000113302.4 SSR3|ENST00000496050.1--IL12B|ENST00000231228.2 chr3:156271914-156271782,156271570-156271444,156266792-156266694[-] chr5:158749519-158749402,158747528-158747314,158745901-158745744,158743824-158743693,158743108-158741791[-] FusedAt:359	chr3:156548905	chr5:159322511	Pac_75	SSR3|ENSG00000114850.2--IL12B|ENSG00000113302.4	122
TTYH2	chr17	72233653	OR11A1	chr6	29395509	TTYH2--OR11A1	sim_adipose.fusion_transcripts	TTYH2|ENSG00000141540.6--OR11A1|ENSG00000204694.6 TTYH2|ENST00000529107.1--OR11A1|ENST00000377148.1 chr17:72211755-72211851,72218624-72218796,72227027-72227138,72233433-72233653[+] chr6:29395509-29393281[-] FusedAt:603	chr17:74237514	chr6:29427732	Pac_75	TTYH2|ENSG00000141540.6--OR11A1|ENSG00000204694.6	121
C1orf200	chr1	9714256	ZNF512B	chr20	62598876	C1orf200--ZNF512B	sim_adipose.fusion_transcripts	C1orf200|ENSG00000179840.5--ZNF512B|ENSG00000196700.3 C1orf200|ENST00000377320.3--ZNF512B|ENST00000369888.1 chr1:9714644-9714256[-] chr20:62598876-62598734,62598357-62598229,62598134-62597494,62596069-62595843,62595744-62595673,62595570-62595424,62595266-62595142,62595063-62594971,62594793-62594695,62594618-62594448,62594134-62593940,62593727-62593626,62593357-62593295,62592760-62592662,62591492-62588055[-] FusedAt:389	chr1:9654198	chr20:63967523	Pac_75	C1orf200|ENSG00000179840.5--ZNF512B|ENSG00000196700.3	121
GSTT2B	chr22	24303207	PMEPA1	chr20	56228142	GSTT2B--PMEPA1	sim_testis.fusion_transcripts	GSTT2B|ENSG00000133433.6--PMEPA1|ENSG00000124225.11 GSTT2B|ENST00000404172.3--PMEPA1|ENST00000347215.4 chr22:24303340-24303207[-] chr20:56228142-56228089,56227654-56223448[-] FusedAt:134	chr22:23961020	chr20:57653086	Pac_75	GSTT2B|ENSG00000133433.6--PMEPA1|ENSG00000124225.11	120
CREB3L2	chr7	137607336	PNMA3	chrX	152225307	CREB3L2--PNMA3	sim_heart.fusion_transcripts	CREB3L2|ENSG00000182158.10--PNMA3|ENSG00000183837.8 CREB3L2|ENST00000420629.1--PNMA3|ENST00000447306.1 chr7:137613015-137612896,137607513-137607336[-] chrX:152225307-152228827[+] FusedAt:298	chr7:137922590	chrX:153056950	Pac_75	CREB3L2|ENSG00000182158.10--PNMA3|ENSG00000183837.8	120
SON	chr21	34939573	ROS1	chr6	117714484	SON--ROS1	sim_heart.fusion_transcripts	SON|ENSG00000159140.13--ROS1|ENSG00000047936.6 SON|ENST00000429093.2--ROS1|ENST00000368508.3 chr21:34939466-34939573[+] chr6:117714484-117714387,117711009-117710513,117709197-117708943,117708162-117708052,117707024-117706846,117704671-117704480,117700322-117700222,117687453-117687239,117686904-117686744,117686367-117686223,117684028-117683766,117681568-117681505,117681174-117680972,117679172-117678967,117678078-117677792,117674332-117674153,117665425-117665223,117663707-117663563,117662795-117662563,117662474-117662298,117658503-117658335,117650609-117650492,117647577-117647387,117645578-117645495,117642557-117642422,117641193-117641031,117639415-117639351,117638435-117638306,117632280-117632183,117631444-117631244,117630091-117629957,117622300-117622137,117609965-117609463[-] FusedAt:108	chr21:33567267	chr6:117393321	Pac_75	SON|ENSG00000159140.13--ROS1|ENSG00000047936.6	120
POLR2D	chr2	128608164	CD63	chr12	56120748	POLR2D--CD63	sim_colon.fusion_transcripts	POLR2D|ENSG00000144231.6--CD63|ENSG00000135404.7 POLR2D|ENST00000272645.4--CD63|ENST00000548898.1 chr2:128615731-128615602,128610679-128610499,128608259-128608164[-] chr12:56120748-56120674,56120579-56120484,56120045-56119905,56119680-56119597,56119410-56119107[-] FusedAt:407	chr2:127850590	chr12:55726964	Pac_75	POLR2D|ENSG00000144231.6--CD63|ENSG00000135404.7	120
MAMDC2	chr9	72659147	LTB4R2	chr14	24779805	MAMDC2--LTB4R2	sim_colon.fusion_transcripts	MAMDC2|ENSG00000165072.9--LTB4R2|ENSG00000213906.5 MAMDC2|ENST00000377182.4--LTB4R2|ENST00000543919.1 chr9:72658497-72659147[+] chr14:24779805-24781259[+] FusedAt:651	chr9:70044231	chr14:24310599	Pac_75	MAMDC2|ENSG00000165072.9--LTB4R2|ENSG00000213906.5	119
GTF2H1	chr11	18363154	AP1S2	chrX	15858714	GTF2H1--AP1S2	sim_colon.fusion_transcripts	GTF2H1|ENSG00000110768.7--AP1S2|ENSG00000182287.9 GTF2H1|ENST00000453096.2--AP1S2|ENST00000452376.1 chr11:18343842-18344287,18347494-18347700,18354607-18354775,18357301-18357493,18359656-18359821,18361111-18361204,18362808-18362957,18363075-18363154[+] chrX:15858714-15858620,15845495-15845015[-] FusedAt:1505	chr11:18341607	chrX:15840591	Pac_75	GTF2H1|ENSG00000110768.7--AP1S2|ENSG00000182287.9	119
THEMIS	chr6	128150621	UCHL5	chr1	192992166	THEMIS--UCHL5	sim_brain.fusion_transcripts	THEMIS|ENSG00000172673.6--UCHL5|ENSG00000116750.9 THEMIS|ENST00000543064.1--UCHL5|ENST00000367449.1 chr6:128222226-128221987,128176333-128176175,128151079-128150621[-] chr1:192992166-192992056,192990325-192990227,192987950-192987535[-] FusedAt:858	chr6:127829476	chr1:193023036	Pac_75	THEMIS|ENSG00000172673.6--UCHL5|ENSG00000116750.9	118
CXCL17	chr19	42946906	VRK2	chr2	58373451	CXCL17--VRK2	sim_brain.fusion_transcripts	CXCL17|ENSG00000189377.4--VRK2|ENSG00000028116.12 CXCL17|ENST00000601181.1--VRK2|ENST00000440705.2 chr19:42947200-42946906[-] chr2:58373451-58373609,58386484-58386919[+] FusedAt:295	chr19:42442754	chr2:58146316	Pac_75	CXCL17|ENSG00000189377.4--VRK2|ENSG00000028116.12	118
ADIRF	chr10	88730672	TTC12	chr11	113194716	ADIRF--TTC12	sim_testis.fusion_transcripts	ADIRF|ENSG00000148671.9--TTC12|ENSG00000149292.12 ADIRF|ENST00000561504.1--TTC12|ENST00000442859.1 chr10:88728247-88728362,88729957-88730019,88730233-88730672[+] chr11:113194716-113194737,113195327-113195404,113196246-113196367,113200642-113200701,113205688-113205759,113209496-113209525[+] FusedAt:619	chr10:86970915	chr11:113323994	Pac_75	ADIRF|ENSG00000148671.9--TTC12|ENSG00000149292.12	118
FOXO4	chrX	70321590	PARM1	chr4	75959093	FOXO4--PARM1	sim_heart.fusion_transcripts	FOXO4|ENSG00000184481.12--PARM1|ENSG00000169116.7 FOXO4|ENST00000374259.3--PARM1|ENST00000307428.7 chrX:70316047-70316831,70320534-70321590[+] chr4:75959093-75959171,75971373-75975323[+] FusedAt:1842	chrX:71101740	chr4:75033883	Pac_75	FOXO4|ENSG00000184481.12--PARM1|ENSG00000169116.7	117
GALNT4	chr12	89918897	LMOD3	chr3	69158272	GALNT4--LMOD3	sim_brain.fusion_transcripts	GALNT4|ENSG00000257594.2--LMOD3|ENSG00000163380.11 GALNT4|ENST00000413530.1--LMOD3|ENST00000420581.2 chr12:89920039-89919658,89918981-89918897[-] chr3:69158272-69156023[-] FusedAt:467	chr12:89525120	chr3:69109121	Pac_75	GALNT4|ENSG00000257594.2--LMOD3|ENSG00000163380.11	117
LECT2	chr5	135288560	ZNF814	chr19	58388410	LECT2--ZNF814	sim_brain.fusion_transcripts	LECT2|ENSG00000145826.4--ZNF814|ENSG00000204514.5 LECT2|ENST00000514447.2--ZNF814|ENST00000595894.1 chr5:135290671-135290477,135288656-135288560[-] chr19:58388410-58388284,58379947-58379826,58370351-58370183,58363756-58363706,58363602-58363534[-] FusedAt:292	chr5:135952871	chr19:57877042	Pac_75	LECT2|ENSG00000145826.4--ZNF814|ENSG00000204514.5	116
KHSRP	chr19	6415391	LDLR	chr19	11226770	KHSRP--LDLR	sim_adipose.fusion_transcripts	KHSRP|ENSG00000088247.11--LDLR|ENSG00000130164.7 KHSRP|ENST00000594496.1--LDLR|ENST00000455727.2 chr19:6415695-6415620,6415468-6415391[-] chr19:11226770-11226888,11227535-11227674,11230768-11230909,11231046-11231198,11233850-11234020,11238684-11238761,11240189-11240346,11241957-11242160[+] FusedAt:154	chr19:6415380	chr19:11116094	Pac_75	KHSRP|ENSG00000088247.11--LDLR|ENSG00000130164.7	115
ALX4	chr11	44289044	SKIL	chr3	170099032	ALX4--SKIL	sim_brain.fusion_transcripts	ALX4|ENSG00000052850.5--SKIL|ENSG00000136603.9 ALX4|ENST00000329255.3--SKIL|ENST00000458537.3 chr11:44331716-44331147,44297208-44296898,44289172-44289044[-] chr3:170099032-170099129,170102321-170102553,170108011-170108252,170108824-170109048,170110047-170114623[+] FusedAt:1010	chr11:44267494	chr3:170381244	Pac_75	ALX4|ENSG00000052850.5--SKIL|ENSG00000136603.9	115
MMP9	chr20	44642173	TSPAN9	chr12	3387587	MMP9--TSPAN9	sim_testis.fusion_transcripts	MMP9|ENSG00000100985.7--TSPAN9|ENSG00000011105.7 MMP9|ENST00000372330.3--TSPAN9|ENST00000407263.1 chr20:44637547-44637703,44638505-44638737,44639122-44639270,44639561-44639689,44639782-44639955,44640213-44640386,44640776-44640952,44641066-44641221,44641894-44642173[+] chr12:3387587-3387778,3388158-3388232,3389548-3389649,3390364-3390495,3390900-3391274[+] FusedAt:1629	chr20:46013534	chr12:3278421	Pac_75	MMP9|ENSG00000100985.7--TSPAN9|ENSG00000011105.7	115
CALCOCO2	chr17	46937811	NCOA3	chr20	46281150	CALCOCO2--NCOA3	sim_heart.fusion_transcripts	CALCOCO2|ENSG00000136436.10--NCOA3|ENSG00000124151.14 CALCOCO2|ENST00000508679.1--NCOA3|ENST00000371997.3 chr17:46908397-46908440,46925426-46925528,46925684-46925817,46926614-46926739,46928451-46928539,46928921-46928990,46929868-46929990,46930288-46930374,46933454-46933549,46937676-46937811[+] chr20:46281150-46281324,46281675-46281816,46282150-46284486[+] FusedAt:1008	chr17:48860449	chr20:47652406	Pac_75	CALCOCO2|ENSG00000136436.10--NCOA3|ENSG00000124151.14	114
CRTAM	chr11	122738807	C17orf104	chr17	42743744	CRTAM--C17orf104	sim_heart.fusion_transcripts	CRTAM|ENSG00000109943.4--C17orf104|ENSG00000180336.13 CRTAM|ENST00000533709.1--C17orf104|ENST00000432494.1 chr11:122733011-122733252,122735344-122735427,122738117-122738263,122738721-122738807[+] chr17:42743744-42744267[+] FusedAt:560	chr11:122868099	chr17:44666376	Pac_75	CRTAM|ENSG00000109943.4--C17orf104|ENSG00000180336.13	114
REPS1	chr6	139265635	ZIC3	chrX	136651061	REPS1--ZIC3	sim_testis.fusion_transcripts	REPS1|ENSG00000135597.14--ZIC3|ENSG00000156925.7 REPS1|ENST00000409812.2--ZIC3|ENST00000370606.3 chr6:139309018-139308667,139269050-139268927,139266834-139266638,139266509-139266356,139265759-139265635[-] chrX:136651061-136651224,136659281-136659850[+] FusedAt:952	chr6:138944498	chrX:137568902	Pac_75	REPS1|ENSG00000135597.14--ZIC3|ENSG00000156925.7	113
ZNF792	chr19	35451139	NFIX	chr19	13135835	ZNF792--NFIX	sim_colon.fusion_transcripts	ZNF792|ENSG00000180884.9--NFIX|ENSG00000008441.12 ZNF792|ENST00000404801.1--NFIX|ENST00000591028.1 chr19:35454953-35454534,35451898-35451772,35451261-35451139[-] chr19:13135835-13136309[+] FusedAt:670	chr19:34960235	chr19:13025021	Pac_75	ZNF792|ENSG00000180884.9--NFIX|ENSG00000008441.12	113
ANO3	chr11	26660788	DICER1	chr14	95557446	ANO3--DICER1	sim_brain.fusion_transcripts	ANO3|ENSG00000134343.8--DICER1|ENSG00000100697.10 ANO3|ENST00000256737.3--DICER1|ENST00000541352.1 chr11:26352971-26353868,26463465-26463659,26465312-26465383,26484577-26484695,26529651-26529809,26538374-26538474,26547182-26547226,26552752-26552883,26556003-26556109,26558953-26559008,26563494-26563615,26568963-26569097,26574796-26574892,26581266-26581326,26619912-26619994,26620405-26620545,26621097-26621261,26646009-26646045,26655751-26655862,26656560-26656617,26660691-26660788[+] chr14:95557446-95557371,95557000-95556829[-] FusedAt:2993	chr11:26639241	chr14:95091109	Pac_75	ANO3|ENSG00000134343.8--DICER1|ENSG00000100697.10	113
APOOL	chrX	84258933	IGSF3	chr1	117149173	APOOL--IGSF3	sim_adipose.fusion_transcripts	APOOL|ENSG00000155008.9--IGSF3|ENSG00000143061.13 APOOL|ENST00000373173.2--IGSF3|ENST00000318837.6 chrX:84258832-84258933[+] chr1:117149173-117149114,117146647-117146246,117142967-117142563,117131726-117131316,117127674-117127267,117122499-117122014,117120184-117119842[-] FusedAt:102	chrX:85003927	chr1:116606551	Pac_75	APOOL|ENSG00000155008.9--IGSF3|ENSG00000143061.13	113
HEXDC	chr17	80377759	URGCP	chr7	43927415	HEXDC--URGCP	sim_colon.fusion_transcripts	HEXDC|ENSG00000169660.11--URGCP|ENSG00000106608.12 HEXDC|ENST00000337014.6--URGCP|ENST00000453200.1 chr17:80376194-80376616,80377625-80377759[+] chr7:43927415-43927389,43927084-43927014,43921556-43921506,43921296-43921258,43918859-43915514[-] FusedAt:558	chr17:82419883	chr7:43887816	Pac_75	HEXDC|ENSG00000169660.11--URGCP|ENSG00000106608.12	113
PYGL	chr14	51398391	AL391421.1	chr10	79627681	PYGL--AL391421.1	sim_testis.fusion_transcripts	PYGL|ENSG00000100504.12--AL391421.1|ENSG00000204049.1 PYGL|ENST00000216392.7--AL391421.1|ENST00000372387.1 chr14:51411454-51410879,51404555-51404454,51401903-51401825,51398494-51398391[-] chr10:79627681-79629368[+] FusedAt:861	chr14:50931673	chr10:77867923	Pac_75	PYGL|ENSG00000100504.12--AL391421.1|ENSG00000204049.1	113
ITGB3	chr17	45367640	GDNF	chr5	37816237	ITGB3--GDNF	sim_colon.fusion_transcripts	ITGB3|ENSG00000259207.3--GDNF|ENSG00000168621.10 ITGB3|ENST00000435993.2--GDNF|ENST00000344622.4 chr17:45331263-45331306,45351785-45351870,45360720-45360915,45361809-45362061,45363626-45363788,45364436-45364597,45367047-45367142,45367551-45367640[+] chr5:37816237-37812779[-] FusedAt:1090	chr17:47290274	chr5:37816135	Pac_75	ITGB3|ENSG00000259207.3--GDNF|ENSG00000168621.10	113
FXYD3	chr19	35612014	U2AF1	chr21	44524512	FXYD3--U2AF1	sim_brain.fusion_transcripts	FXYD3|ENSG00000089356.12--U2AF1|ENSG00000160201.7 FXYD3|ENST00000346446.5--U2AF1|ENST00000291552.4 chr19:35607166-35607263,35610267-35610320,35611982-35612014[+] chr21:44524512-44524425,44520629-44520563,44515853-44515804,44515646-44515548,44514898-44514765,44514673-44514581,44513359-44513066[-] FusedAt:185	chr19:35121110	chr21:43104402	Pac_75	FXYD3|ENSG00000089356.12--U2AF1|ENSG00000160201.7	112
ARHGAP28	chr18	6890542	ESPL1	chr12	53682874	ARHGAP28--ESPL1	sim_adipose.fusion_transcripts	ARHGAP28|ENSG00000088756.8--ESPL1|ENSG00000135476.7 ARHGAP28|ENST00000419673.2--ESPL1|ENST00000552462.1 chr18:6834474-6834538,6837196-6837413,6851033-6851125,6859807-6859896,6868149-6868233,6870589-6870731,6873408-6873573,6873683-6873774,6876130-6876207,6882136-6882298,6887156-6887238,6889887-6890084,6890429-6890542[+] chr12:53682874-53683087,53683188-53683378,53683869-53683996,53684131-53684253,53684625-53684780,53685474-53685644,53685768-53685872,53686062-53686177,53686358-53686441,53686590-53686754,53687057-53687258[+] FusedAt:1588	chr18:6890543	chr12:53289090	Pac_75	ARHGAP28|ENSG00000088756.8--ESPL1|ENSG00000135476.7	112
RAB7A	chr3	128514263	LCN1	chr9	138416978	RAB7A--LCN1	sim_adipose.fusion_transcripts	RAB7A|ENSG00000075785.8--LCN1|ENSG00000160349.5 RAB7A|ENST00000464496.1--LCN1|ENST00000263598.2 chr3:128514086-128514263[+] chr9:138416978-138417004,138418195-138418378[+] FusedAt:178	chr3:128795420	chr9:135525132	Pac_75	RAB7A|ENSG00000075785.8--LCN1|ENSG00000160349.5	112
SCN2B	chr11	118038800	CCDC41	chr12	94702693	SCN2B--CCDC41	sim_heart.fusion_transcripts	SCN2B|ENSG00000149575.5--CCDC41|ENSG00000173588.10 SCN2B|ENST00000278947.5--CCDC41|ENST00000339839.5 chr11:118047388-118047077,118039466-118039300,118039010-118038800[-] chr12:94702693-94702056[-] FusedAt:690	chr11:118168085	chr12:94308917	Pac_75	SCN2B|ENSG00000149575.5--CCDC41|ENSG00000173588.10	112
CD79A	chr19	42383723	AP1S3	chr2	224640726	CD79A--AP1S3	sim_heart.fusion_transcripts	CD79A|ENSG00000105369.5--AP1S3|ENSG00000152056.12 CD79A|ENST00000444740.2--AP1S3|ENST00000443700.1 chr19:42381375-42381453,42383060-42383245,42383605-42383723[+] chr2:224640726-224640618,224630067-224629930,224617606-224616403[-] FusedAt:384	chr19:41879653	chr2:223776009	Pac_75	CD79A|ENSG00000105369.5--AP1S3|ENSG00000152056.12	112
TM4SF18	chr3	149042667	PLEKHA8	chr7	30094873	TM4SF18--PLEKHA8	sim_colon.fusion_transcripts	TM4SF18|ENSG00000163762.2--PLEKHA8|ENSG00000106086.14 TM4SF18|ENST00000470080.1--PLEKHA8|ENST00000258679.7 chr3:149051269-149050993,149048206-149048117,149042809-149042667[-] chr7:30094873-30094958,30100500-30100558,30101513-30101643,30102288-30102358,30129769-30130360[+] FusedAt:510	chr3:149324880	chr7:30055257	Pac_75	TM4SF18|ENSG00000163762.2--PLEKHA8|ENSG00000106086.14	111
RAPSN	chr11	47460283	BRF2	chr8	37704859	RAPSN--BRF2	sim_adipose.fusion_transcripts	RAPSN|ENSG00000165917.5--BRF2|ENSG00000104221.8 RAPSN|ENST00000524487.1--BRF2|ENST00000521170.1 chr11:47470605-47470325,47469702-47469364,47463473-47463375,47463285-47463093,47460473-47460283[-] chr8:37704859-37704821,37704693-37704475[-] FusedAt:1103	chr11:47438732	chr8:37847341	Pac_75	RAPSN|ENSG00000165917.5--BRF2|ENSG00000104221.8	111
SF3B14	chr2	24291191	TRDV1	chr14	22564599	SF3B14--TRDV1	sim_testis.fusion_transcripts	SF3B14|ENSG00000115128.6--TRDV1|ENSG00000211804.2 SF3B14|ENST00000233468.4--TRDV1|ENST00000390452.2 chr2:24299313-24299070,24297064-24296946,24291329-24291191[-] chr14:22564599-22564896[+] FusedAt:502	chr2:24068321	chr14:22096322	Pac_75	SF3B14|ENSG00000115128.6--TRDV1|ENSG00000211804.2	111
UACA	chr15	70983638	FAM46C	chr1	118165464	UACA--FAM46C	sim_adipose.fusion_transcripts	UACA|ENSG00000137831.10--FAM46C|ENSG00000183508.4 UACA|ENST00000558758.1--FAM46C|ENST00000369448.3 chr15:70994620-70994216,70991999-70991866,70987444-70987356,70983702-70983638[-] chr1:118165464-118170994[+] FusedAt:693	chr15:70691299	chr1:117622842	Pac_75	UACA|ENSG00000137831.10--FAM46C|ENSG00000183508.4	111
GGCT	chr7	30540152	PPP2R1B	chr11	111626174	GGCT--PPP2R1B	sim_brain.fusion_transcripts	GGCT|ENSG00000006625.13--PPP2R1B|ENSG00000137713.11 GGCT|ENST00000598361.1--PPP2R1B|ENST00000427203.2 chr7:30591095-30590934,30590397-30590252,30540297-30540152[-] chr11:111626174-111626019,111625818-111625704,111625293-111625223,111624301-111624167,111623056-111622883,111618738-111618678,111614254-111614100,111613389-111613247,111612868-111612777,111612336-111611779[-] FusedAt:454	chr7:30500536	chr11:111755450	Pac_75	GGCT|ENSG00000006625.13--PPP2R1B|ENSG00000137713.11	110
ZNF223	chr19	44571426	DGCR14	chr22	19122688	ZNF223--DGCR14	sim_testis.fusion_transcripts	ZNF223|ENSG00000267022.1--DGCR14|ENSG00000100056.7 ZNF223|ENST00000591793.1--DGCR14|ENST00000252137.6 chr19:44529506-44529630,44531175-44531301,44531550-44531642,44559262-44559344,44564608-44564734,44564902-44564994,44570217-44571426[+] chr22:19122688-19122573,19121988-19117792[-] FusedAt:1858	chr19:44067273	chr22:19135175	Pac_75	ZNF223|ENSG00000267022.1--DGCR14|ENSG00000100056.7	110
NPFF	chr12	53900805	CLIC1	chr6	31702040	NPFF--CLIC1	sim_colon.fusion_transcripts	NPFF|ENSG00000139574.7--CLIC1|ENSG00000213719.4 NPFF|ENST00000609999.1--CLIC1|ENST00000395892.1 chr12:53901372-53900805[-] chr6:31702040-31701931,31701738-31701613,31701449-31701343,31700175-31699994,31698780-31698358[-] FusedAt:568	chr12:53507021	chr6:31734263	Pac_75	NPFF|ENSG00000139574.7--CLIC1|ENSG00000213719.4	109
